Temperature,Humidity,PM2.5,PM10,NO2,SO2,CO,Proximity_to_Industrial_Areas,Population_Density,Air Quality,weighted_pollution,pm_fine_ratio,population_exposure
25.7,78.3,1.2,8.0,18.5,5.3,1.09,16.4,526,Good,7.11,0.15,17931.34
29.6,65.3,13.3,19.6,16.0,5.1,1.01,15.5,198,Good,14.909999999999998,0.6785714285714286,10891.980000000001
32.2,79.4,4.0,11.0,32.9,10.9,1.25,9.5,651,Moderate,12.57,0.36363636363636365,39092.549999999996
22.4,46.5,7.1,12.7,27.8,3.4,0.92,10.9,473,Good,12.55,0.5590551181102362,24558.16
24.4,70.5,28.9,39.2,18.7,5.9,0.95,12.9,342,Good,27.650000000000002,0.7372448979591836,32028.300000000003
33.3,94.3,37.2,41.0,35.3,11.8,2.33,8.5,770,Poor,35.42,0.9073170731707317,98275.09999999999
27.8,70.7,16.4,21.2,21.0,8.7,1.27,9.7,377,Moderate,17.99,0.7735849056603773,25850.889999999996
35.5,73.2,45.6,49.2,31.7,11.6,1.44,5.6,444,Moderate,40.5,0.9268292682926829,61955.759999999995
31.7,67.7,7.0,11.0,26.8,7.0,1.18,10.4,530,Good,12.16,0.6363636363636364,28079.399999999998
31.7,61.4,7.9,20.8,27.7,12.6,1.68,7.5,574,Moderate,16.200000000000003,0.3798076923076923,40570.32000000001
26.8,39.3,10.0,12.5,20.9,5.7,1.0,10.6,494,Good,12.5,0.8,24749.399999999998
31.1,67.6,2.2,5.5,11.3,0.8,1.12,10.8,344,Good,4.870000000000001,0.4,7196.4800000000005
27.9,59.3,45.9,56.0,27.0,6.7,1.4,6.7,633,Moderate,41.23,0.8196428571428571,86721.00000000001
32.6,77.3,12.9,33.1,38.9,8.3,1.86,4.3,529,Poor,23.700000000000003,0.38972809667673713,50286.73999999999
28.3,74.9,2.1,10.2,26.3,8.3,1.59,5.1,342,Moderate,9.99,0.2058823529411765,16583.58
28.5,57.3,18.4,34.9,32.7,13.9,2.54,5.0,486,Poor,25.759999999999998,0.5272206303724928,49785.840000000004
26.9,79.7,17.3,27.3,27.2,0.0,1.45,7.5,575,Moderate,20.55,0.6336996336996337,42118.75
32.0,58.7,5.2,8.9,19.0,3.0,1.01,11.1,437,Good,8.850000000000001,0.5842696629213483,16217.07
26.6,44.0,3.5,7.1,23.9,7.2,0.97,11.0,417,Good,9.030000000000001,0.49295774647887325,17793.39
23.3,55.0,2.0,12.5,19.2,5.7,1.12,10.6,339,Good,8.96,0.16,13736.279999999999
24.3,92.5,25.8,32.4,30.8,13.7,1.69,6.0,268,Moderate,27.57,0.7962962962962964,27976.52
23.6,46.8,3.1,8.1,12.2,3.2,1.06,10.2,543,Good,6.43,0.3827160493827161,15019.379999999997
26.3,74.2,0.1,10.9,32.6,10.4,1.38,7.7,511,Moderate,10.870000000000001,0.009174311926605505,28299.18
21.4,42.0,3.6,6.6,19.7,1.3,1.07,20.0,473,Good,7.489999999999999,0.5454545454545455,15263.709999999997
29.6,86.1,6.7,30.2,36.4,25.8,2.49,4.0,632,Poor,21.6,0.2218543046357616,64204.87999999999
32.2,65.9,1.3,20.9,46.3,21.0,1.82,4.8,634,Poor,18.15,0.06220095693779905,57896.88
44.7,100.3,79.8,104.0,51.0,17.9,2.62,4.9,574,Hazardous,75.11000000000001,0.7673076923076922,146553.68000000002
25.8,87.9,7.3,19.7,30.0,16.8,1.38,5.5,326,Moderate,16.509999999999998,0.37055837563451777,24508.679999999997
43.2,110.8,36.4,55.4,42.4,16.8,2.38,4.6,531,Hazardous,41.339999999999996,0.6570397111913358,81444.78
26.6,68.5,10.4,16.2,25.7,2.2,0.85,10.9,231,Good,14.38,0.6419753086419754,12785.85
19.4,54.5,15.7,33.5,19.9,11.7,1.79,5.3,362,Moderate,21.479999999999997,0.4686567164179104,29897.580000000005
31.9,68.5,7.2,19.3,20.7,1.9,1.46,12.4,537,Moderate,12.999999999999998,0.37305699481865284,27150.719999999998
42.3,70.3,22.5,33.9,32.1,22.0,2.82,9.5,672,Hazardous,27.790000000000003,0.6637168141592921,76151.04
22.0,71.9,6.8,9.7,24.7,7.3,1.06,10.5,542,Good,11.3,0.7010309278350516,26861.52
25.7,57.0,16.2,21.2,19.2,0.1,1.0,10.8,323,Good,16.69,0.7641509433962264,18637.100000000002
35.9,69.4,25.0,38.3,25.9,12.0,1.72,5.6,549,Poor,27.869999999999997,0.6527415143603134,56503.079999999994
30.2,91.2,6.4,13.6,25.8,10.8,1.54,7.3,685,Moderate,12.88,0.4705882352941177,39825.9
37.2,91.7,111.0,117.2,28.8,6.9,1.43,9.5,645,Moderate,86.01,0.947098976109215,171137.84999999998
32.3,69.5,0.4,10.8,32.6,8.2,1.35,5.8,643,Moderate,10.740000000000002,0.037037037037037035,34304.05
42.1,59.8,6.5,22.9,24.8,9.0,1.54,5.9,383,Moderate,15.33,0.2838427947598253,24795.420000000002
27.3,57.7,4.9,10.6,17.9,1.4,0.92,12.8,397,Good,8.86,0.4622641509433963,14180.84
25.4,45.4,1.9,9.7,26.4,7.4,1.02,13.8,558,Good,9.69,0.1958762886597938,25902.36
28.1,89.9,31.9,39.6,21.3,15.8,1.72,5.6,697,Moderate,30.480000000000004,0.8055555555555555,76893.04
36.1,82.0,6.8,15.7,31.5,12.7,2.43,3.7,767,Poor,15.0,0.43312101910828027,53022.71000000001
29.4,68.8,22.8,25.4,14.3,5.7,1.07,12.2,358,Good,20.17,0.8976377952755906,24798.66
45.8,62.3,36.2,54.1,32.3,19.0,2.8,4.3,616,Poor,39.07,0.6691312384473198,88950.40000000002
28.2,63.5,0.7,13.0,27.3,9.4,1.65,7.6,531,Moderate,10.58,0.05384615384615384,27638.550000000003
26.7,67.6,3.9,7.9,23.5,6.2,0.99,10.4,366,Good,9.25,0.49367088607594933,15551.34
24.4,79.0,7.5,10.3,28.1,4.6,1.49,5.7,473,Moderate,12.170000000000002,0.7281553398058251,24591.27
31.4,97.3,70.4,97.4,39.2,20.8,1.83,5.3,480,Poor,67.3,0.7227926078028748,110222.40000000001
33.7,49.4,28.2,36.7,41.2,16.3,1.85,3.5,568,Poor,32.160000000000004,0.768392370572207,70574.0
29.7,61.4,18.3,31.4,30.6,17.0,1.42,5.2,396,Moderate,24.560000000000002,0.5828025477707007,39093.12
28.7,80.8,16.6,27.3,34.8,15.0,1.75,5.3,446,Moderate,23.29,0.6080586080586081,42570.700000000004
26.1,58.4,9.8,16.3,25.6,7.1,0.89,14.8,458,Good,14.64,0.6012269938650306,27338.02
39.7,95.9,70.7,74.9,30.8,18.3,2.3,3.7,422,Poor,58.739999999999995,0.9439252336448598,83134.00000000003
28.0,88.7,13.5,25.9,23.7,18.5,0.94,8.6,546,Moderate,19.76,0.5212355212355213,45066.84
31.8,62.9,116.1,127.6,30.0,10.2,2.26,3.8,790,Poor,91.74,0.9098746081504702,226066.39999999997
28.3,39.7,52.1,56.7,28.9,0.6,0.99,15.1,384,Good,43.69000000000001,0.9188712522045855,53487.36000000001
27.9,87.6,22.8,38.3,27.4,4.9,1.42,6.3,443,Moderate,26.58,0.5953002610966058,42005.26
37.8,64.8,0.2,23.6,17.8,6.6,1.71,5.2,643,Poor,11.38,0.00847457627118644,32092.13
32.2,83.0,40.7,55.0,18.8,3.3,1.76,3.9,669,Poor,36.87,0.7400000000000001,79985.64
22.2,78.5,5.7,7.5,19.7,5.0,1.15,13.1,514,Good,8.97,0.76,20071.699999999997
32.5,85.1,24.8,46.3,29.1,13.2,1.89,5.9,599,Hazardous,30.950000000000003,0.5356371490280778,69058.71
19.8,53.7,17.0,19.9,15.9,7.0,1.04,10.8,564,Good,16.65,0.8542713567839196,34313.759999999995
28.5,47.7,0.0,5.3,26.2,2.6,1.13,12.2,474,Good,7.09,0.0,16699.02
32.7,56.0,57.9,68.6,22.9,15.7,1.32,6.7,542,Moderate,49.88999999999999,0.8440233236151604,90199.64
28.5,59.7,7.7,15.5,25.6,21.4,1.46,5.3,423,Moderate,14.990000000000002,0.4967741935483871,30312.179999999993
34.2,51.9,4.1,11.6,14.5,5.4,1.17,10.2,421,Good,8.559999999999999,0.35344827586206895,15480.170000000002
33.2,80.6,18.5,32.1,23.0,21.3,1.84,5.4,793,Poor,23.76,0.5763239875389408,76714.82
37.2,111.3,0.2,8.8,31.9,18.5,2.12,7.7,753,Poor,10.95,0.022727272727272728,46324.56
27.5,81.3,36.0,45.5,21.3,12.7,1.66,7.7,395,Moderate,33.580000000000005,0.7912087912087912,46278.2
29.7,46.7,0.4,12.9,33.2,4.5,1.63,5.2,541,Moderate,11.120000000000001,0.031007751937984496,28472.83
26.6,72.4,30.3,31.5,22.5,4.4,1.05,11.8,320,Good,26.51,0.9619047619047619,28720.0
32.3,91.2,1.7,15.7,33.5,7.2,2.33,7.2,535,Poor,12.81,0.10828025477707007,32330.049999999996
26.7,66.0,0.5,5.4,20.9,-0.6,0.87,10.1,422,Good,5.94,0.09259259259259259,11423.54
45.4,104.7,134.5,155.1,46.3,23.4,3.36,8.5,736,Hazardous,111.93,0.8671824629271438,266917.76
31.9,70.1,5.5,17.5,44.2,17.2,1.65,4.1,506,Poor,18.01,0.3142857142857143,43541.3
27.4,63.2,24.9,35.3,30.7,8.8,1.5,5.6,631,Moderate,27.569999999999997,0.7053824362606232,63857.200000000004
34.2,72.1,5.8,15.9,25.5,16.0,2.72,5.3,560,Poor,13.790000000000001,0.36477987421383645,36915.200000000004
30.4,48.7,0.1,6.6,24.2,9.1,1.63,6.1,536,Moderate,7.77,0.015151515151515154,22313.68
28.7,63.2,10.7,16.8,22.0,6.4,0.76,15.0,319,Good,14.360000000000001,0.6369047619047619,18074.539999999997
24.8,60.1,0.1,1.7,17.5,5.9,0.99,13.3,457,Good,4.64,0.05882352941176471,11968.829999999998
30.8,85.8,27.0,29.1,18.5,11.0,1.54,8.7,466,Moderate,24.330000000000002,0.9278350515463917,40607.24
28.4,48.3,13.5,15.7,18.2,4.1,1.2,10.2,503,Good,14.16,0.8598726114649682,26508.100000000002
28.2,55.4,3.4,13.1,18.2,3.8,1.2,6.6,296,Moderate,9.31,0.2595419847328244,11751.2
23.6,55.5,1.2,2.2,24.5,9.7,1.03,10.5,349,Good,7.010000000000001,0.5454545454545454,13481.87
27.5,76.2,16.6,24.3,32.4,17.8,1.97,5.2,577,Poor,22.19,0.6831275720164609,53701.39
24.7,46.2,22.9,25.0,14.4,5.0,0.78,10.1,356,Good,20.04,0.9159999999999999,24236.48
22.1,64.6,13.1,17.7,15.6,4.9,0.99,10.5,468,Good,14.160000000000002,0.7401129943502825,24471.72
32.9,97.0,10.0,32.7,39.7,12.4,2.24,4.3,640,Hazardous,22.990000000000002,0.3058103975535168,62105.600000000006
38.5,81.3,43.9,52.4,39.8,8.6,1.55,3.5,670,Poor,42.1,0.8377862595419847,97987.5
46.4,63.7,17.3,28.0,46.5,14.6,2.26,4.2,658,Poor,26.080000000000002,0.6178571428571429,71498.28000000001
30.2,62.1,40.2,47.5,20.3,14.7,1.76,5.1,574,Moderate,35.86,0.8463157894736842,71440.04000000001
41.7,64.8,2.3,11.2,22.4,7.6,1.22,6.6,452,Moderate,9.519999999999998,0.20535714285714285,20213.44
40.9,80.9,13.5,26.8,37.5,16.2,2.38,3.8,630,Poor,22.56,0.503731343283582,60719.399999999994
50.4,85.1,8.9,33.5,36.5,19.2,2.4,4.4,778,Hazardous,22.83,0.2656716417910448,78189.0
23.8,54.2,2.6,5.1,18.7,6.8,1.12,12.2,351,Good,6.99,0.5098039215686275,12046.32
27.2,90.5,13.9,22.7,26.6,12.8,1.29,7.6,616,Moderate,18.970000000000002,0.6123348017621145,47610.64000000001
50.1,108.2,43.1,63.3,53.7,15.2,1.94,7.6,722,Hazardous,48.49000000000001,0.6808846761453397,127967.28000000001
23.2,60.0,4.7,7.3,26.3,7.5,0.98,11.5,535,Good,10.080000000000002,0.6438356164383562,25027.299999999996
20.2,61.3,21.3,25.9,14.1,7.1,0.91,10.5,577,Good,19.82,0.8223938223938224,39991.87
22.0,50.9,23.6,28.9,19.0,4.6,1.02,10.1,303,Good,22.37,0.8166089965397925,23367.359999999997
29.1,52.6,14.0,18.7,17.6,7.7,1.04,10.4,456,Good,15.5,0.7486631016042781,26922.24
41.9,75.9,12.6,26.2,41.2,34.1,3.04,7.0,543,Hazardous,24.55,0.48091603053435117,63607.02000000001
21.7,50.0,21.5,25.1,12.2,7.0,1.13,11.1,311,Good,19.27,0.8565737051792828,20815.229999999996
41.3,85.7,66.1,93.4,40.0,16.4,1.29,3.5,424,Poor,64.1,0.7077087794432547,92088.56
28.1,39.9,2.8,7.6,18.2,4.8,1.08,10.8,470,Good,7.52,0.3684210526315789,16205.599999999999
25.5,43.5,5.2,9.6,24.4,8.8,0.98,11.4,284,Good,10.72,0.5416666666666667,13910.32
25.0,49.7,1.1,5.4,17.9,5.0,1.15,10.5,447,Good,6.140000000000001,0.20370370370370372,13655.849999999999
36.8,82.8,7.3,17.9,33.2,17.0,1.9,4.3,678,Poor,16.63,0.40782122905027934,52409.40000000001
29.3,75.2,43.5,48.7,22.7,7.7,1.61,11.8,370,Moderate,37.32000000000001,0.893223819301848,45957.700000000004
24.9,56.5,2.4,7.0,18.6,6.1,1.12,13.7,333,Good,7.3900000000000015,0.34285714285714286,11728.26
38.0,98.9,82.4,94.3,37.9,13.1,2.42,6.0,791,Poor,70.14,0.8738069989395547,182024.91999999998
25.9,78.4,27.5,33.5,26.0,4.3,1.03,11.2,360,Good,26.679999999999996,0.8208955223880597,33238.8
20.3,75.5,8.6,14.6,14.7,4.6,0.99,16.3,297,Good,11.219999999999999,0.589041095890411,12916.53
25.8,77.7,21.7,29.9,13.6,6.3,0.85,12.4,549,Good,20.999999999999996,0.725752508361204,39720.14999999999
25.9,87.6,28.6,47.1,23.1,6.4,1.46,5.6,490,Moderate,30.830000000000002,0.6072186836518046,52263.40000000001
26.1,46.3,4.7,10.9,19.3,3.2,1.18,17.6,471,Good,9.330000000000002,0.43119266055045874,18500.88
25.4,81.0,22.9,36.8,38.3,9.5,1.59,7.6,543,Moderate,28.81,0.6222826086956522,59235.869999999995
36.5,78.5,4.7,11.3,30.3,13.9,1.33,6.5,412,Moderate,12.720000000000002,0.415929203539823,25350.36
28.8,42.9,4.8,12.8,17.7,2.0,0.87,10.1,561,Good,9.5,0.37499999999999994,21413.369999999995
28.0,76.0,14.1,25.0,28.4,4.2,2.3,4.6,740,Poor,19.240000000000002,0.564,54760.0
38.7,98.8,9.1,30.9,40.2,21.0,2.33,2.8,827,Hazardous,23.050000000000004,0.29449838187702265,85619.31
26.9,59.1,21.4,33.0,22.2,9.2,1.14,5.5,398,Moderate,23.82,0.6484848484848484,34602.12
24.7,51.4,3.5,9.4,14.6,4.3,0.85,11.6,215,Good,7.569999999999999,0.3723404255319149,7019.75
30.7,80.6,7.6,17.9,23.6,26.6,2.18,4.2,677,Poor,15.790000000000001,0.4245810055865922,52724.76000000001
23.4,64.4,7.2,11.4,12.4,6.2,1.01,13.5,295,Good,9.400000000000002,0.631578947368421,11271.95
31.4,51.5,6.0,15.4,22.0,11.4,1.29,6.8,370,Moderate,12.560000000000002,0.38961038961038963,20753.3
25.6,80.7,15.7,18.4,15.3,8.1,0.94,12.4,341,Good,15.670000000000002,0.8532608695652174,19928.04
34.4,103.1,29.2,42.2,54.4,23.6,3.37,3.7,614,Hazardous,37.58,0.6919431279620852,93800.78000000001
36.3,69.3,7.1,15.6,22.7,1.6,1.44,6.4,542,Moderate,12.219999999999999,0.4551282051282051,26254.48
29.6,56.4,17.2,35.2,20.7,4.5,1.7,6.3,649,Moderate,22.03,0.4886363636363636,51465.700000000004
31.6,77.8,65.6,82.8,33.8,18.3,1.59,5.5,641,Poor,59.669999999999995,0.7922705314009661,129539.69
29.3,56.4,0.5,1.5,25.0,3.4,0.88,11.2,407,Good,5.99,0.3333333333333333,12730.96
31.1,116.9,16.1,35.6,31.7,20.7,2.73,4.5,544,Hazardous,25.53,0.45224719101123595,58115.520000000004
34.4,100.9,4.7,14.1,47.6,21.0,2.01,5.6,771,Hazardous,17.73,0.33333333333333337,68935.11000000002
29.5,53.5,12.2,22.2,26.8,10.0,1.49,8.0,438,Moderate,17.9,0.5495495495495495,31838.219999999998
28.6,66.0,0.8,4.2,19.4,7.1,1.11,12.7,490,Good,6.17,0.19047619047619047,15978.9
42.2,94.7,96.4,115.5,45.6,10.1,2.29,4.7,570,Poor,83.34000000000002,0.8346320346320347,153837.30000000002
36.9,84.6,58.5,75.7,39.1,13.1,1.96,4.6,609,Poor,55.24,0.772787318361955,114711.23999999999
27.4,83.7,11.4,18.5,18.3,8.4,1.74,7.1,425,Moderate,14.61,0.6162162162162163,24794.5
35.7,91.0,49.9,50.3,19.0,15.4,1.94,4.2,539,Poor,40.38999999999999,0.9920477137176938,73595.06
29.0,71.5,7.9,8.1,24.2,7.2,1.13,14.7,532,Good,11.15,0.9753086419753088,25817.96
22.9,71.3,6.9,12.0,11.8,3.5,1.0,13.5,485,Good,9.069999999999999,0.5750000000000001,17072.0
23.6,56.0,24.7,29.9,17.1,4.7,1.1,15.0,540,Good,22.740000000000002,0.8260869565217391,41850.0
30.9,76.7,12.4,16.2,13.7,6.9,0.73,11.2,579,Good,13.25,0.7654320987654322,28909.47
24.7,83.6,64.0,84.5,47.3,12.1,1.69,4.2,630,Poor,61.620000000000005,0.757396449704142,132041.69999999998
37.3,82.2,11.2,32.1,36.6,17.0,1.91,3.5,831,Poor,23.13,0.34890965732087226,82111.11
37.8,86.3,11.9,33.1,34.5,14.6,2.14,7.9,535,Poor,23.050000000000004,0.3595166163141994,51488.399999999994
30.7,64.8,53.2,65.6,34.6,19.9,1.91,3.8,391,Poor,49.87,0.8109756097560977,68507.10999999999
29.6,46.6,5.1,16.2,27.0,7.0,1.93,7.6,364,Moderate,13.0,0.3148148148148148,20831.719999999998
42.2,87.6,95.7,115.6,42.7,18.7,2.59,6.7,707,Hazardous,83.37000000000002,0.8278546712802769,194630.02999999997
33.7,63.2,58.3,78.3,42.9,4.8,1.43,5.1,505,Poor,55.87,0.7445721583652618,93793.65000000001
30.9,85.8,13.2,20.0,27.7,13.3,1.58,15.5,300,Moderate,18.15,0.6599999999999999,22734.0
19.7,51.1,5.5,13.2,20.6,2.4,1.17,10.2,359,Good,10.520000000000001,0.4166666666666667,15390.330000000002
34.0,88.6,22.3,35.3,20.3,10.0,1.53,5.7,333,Moderate,24.57,0.6317280453257791,29780.19
18.8,54.5,8.8,13.6,20.1,6.0,0.97,10.5,494,Good,12.22,0.6470588235294118,24438.18
27.3,65.1,15.1,24.5,29.0,12.8,1.54,6.9,485,Moderate,20.470000000000002,0.6163265306122448,40225.90000000001
35.6,95.7,13.9,30.0,37.6,12.1,2.0,12.3,552,Poor,23.290000000000003,0.4633333333333333,52771.2
33.7,59.5,13.7,21.5,19.6,2.3,1.02,11.7,511,Good,16.08,0.6372093023255814,29699.320000000003
23.6,52.0,7.2,11.9,19.0,5.5,1.01,12.6,581,Good,10.8,0.6050420168067226,25918.41
37.7,64.9,13.5,27.2,38.4,9.6,2.23,3.6,641,Poor,22.200000000000003,0.4963235294117647,58286.130000000005
32.3,68.8,4.3,6.5,28.1,9.4,1.5,5.1,438,Moderate,10.23,0.6615384615384615,21812.4
29.8,75.7,4.7,13.0,21.9,10.1,1.48,5.5,351,Moderate,11.17,0.36153846153846153,17964.179999999997
19.7,50.7,4.4,9.0,10.4,5.6,0.8,17.4,383,Good,7.1,0.48888888888888893,11566.6
25.9,76.9,27.2,33.0,22.2,4.9,0.9,11.6,336,Good,25.71,0.8242424242424242,29635.200000000004
32.1,100.8,51.2,69.4,48.2,17.7,2.37,2.6,796,Hazardous,52.71000000000001,0.7377521613832853,150340.52
36.8,71.4,5.4,46.1,41.7,6.3,2.35,2.6,846,Hazardous,24.96,0.11713665943600868,86165.09999999999
27.0,48.8,26.6,30.2,13.4,5.6,1.09,11.7,337,Good,22.939999999999998,0.880794701986755,25911.93
29.8,54.4,3.6,11.2,15.0,7.4,0.75,10.5,365,Good,8.54,0.32142857142857145,13851.750000000002
33.8,72.1,0.6,14.2,32.5,17.5,1.59,14.5,646,Moderate,12.75,0.04225352112676056,42887.94
25.3,54.9,0.8,6.8,27.7,4.6,0.99,12.0,279,Good,8.36,0.11764705882352942,11408.31
16.8,57.1,22.0,25.6,13.0,6.4,1.05,10.4,231,Good,19.720000000000002,0.859375,15719.55
34.0,90.1,34.4,40.7,35.8,6.2,1.42,8.8,510,Moderate,33.74999999999999,0.8452088452088451,60445.2
25.1,78.5,39.9,54.2,37.5,19.8,2.2,3.4,463,Poor,41.699999999999996,0.7361623616236161,71116.79999999999
30.4,91.7,8.3,19.2,36.2,18.8,2.25,3.4,417,Poor,18.2,0.43229166666666674,35340.75
26.1,88.5,33.9,41.7,37.4,14.5,1.17,7.7,542,Moderate,35.0,0.8129496402877697,69739.14
33.6,79.4,18.1,32.1,31.7,15.3,1.86,6.1,691,Poor,24.740000000000002,0.5638629283489097,68450.46
30.3,89.0,6.3,9.3,23.5,14.3,1.88,7.8,365,Moderate,11.440000000000001,0.6774193548387096,20177.200000000004
32.5,89.0,12.2,34.2,38.7,13.5,1.88,5.3,688,Poor,24.230000000000004,0.35672514619883033,69130.24
27.5,68.3,0.4,6.2,27.0,9.3,1.12,11.6,465,Good,8.35,0.06451612903225806,20469.300000000003
23.9,44.8,1.0,4.7,26.0,3.5,1.02,10.6,262,Good,7.359999999999999,0.2127659574468085,9489.640000000001
25.2,57.1,15.7,21.6,24.4,3.9,1.01,10.2,261,Good,18.03,0.7268518518518517,17385.21
32.6,82.7,71.2,87.5,30.3,15.8,2.31,6.3,712,Poor,62.370000000000005,0.8137142857142857,147462.32
37.0,76.5,22.5,35.0,38.0,26.9,2.31,3.7,774,Poor,29.790000000000003,0.6428571428571429,96525.54000000001
28.0,75.5,70.0,88.9,41.7,23.3,2.42,4.2,678,Poor,65.34,0.7874015748031495,153444.96000000002
32.4,56.5,0.0,13.9,27.2,5.3,1.0,5.4,412,Moderate,10.139999999999999,0.0,19528.8
41.1,70.1,45.2,60.0,28.5,15.7,2.43,6.0,759,Hazardous,43.35,0.7533333333333334,115238.97000000002
29.9,65.5,0.9,8.2,25.2,11.4,1.46,8.4,670,Moderate,9.0,0.10975609756097562,31597.2
24.2,43.1,13.7,20.4,15.7,7.6,1.04,11.3,365,Good,15.5,0.6715686274509804,21330.599999999995
37.9,96.9,43.3,51.1,31.9,10.6,1.23,7.2,293,Moderate,40.09,0.847358121330724,40472.09
43.6,93.3,75.6,90.4,33.6,17.9,1.98,9.6,425,Poor,65.87,0.8362831858407078,93279.0
33.7,66.5,67.2,77.4,32.7,6.2,1.24,13.8,461,Moderate,57.260000000000005,0.8682170542635659,85165.14
34.7,86.1,14.6,26.3,22.2,10.6,1.8,5.8,643,Moderate,19.23,0.5551330798479087,48546.5
26.9,81.9,28.0,40.2,23.5,8.7,1.41,5.9,379,Moderate,28.830000000000002,0.6965174129353233,38585.99
18.5,64.8,8.8,11.5,14.1,5.1,0.89,10.1,428,Good,10.3,0.7652173913043478,17286.920000000002
27.7,73.5,8.4,16.1,32.7,9.3,1.48,5.2,638,Moderate,15.660000000000002,0.5217391304347826,43371.240000000005
20.9,78.1,16.9,22.9,13.2,6.9,1.09,10.4,450,Good,16.96,0.7379912663755458,27445.499999999996
32.4,81.8,16.6,30.3,19.3,13.6,1.68,3.8,588,Poor,20.95,0.5478547854785479,47910.24000000001
29.0,84.3,8.7,14.7,31.6,11.9,1.53,10.4,475,Moderate,15.399999999999999,0.5918367346938775,32504.250000000004
21.3,71.5,13.4,17.3,19.1,1.1,1.07,11.1,280,Good,14.48,0.7745664739884393,14551.600000000002
26.4,47.9,40.7,57.5,32.1,7.0,1.79,6.1,562,Moderate,40.650000000000006,0.7078260869565218,78168.58
23.1,56.3,31.4,33.8,15.1,5.8,1.02,10.5,300,Good,26.299999999999997,0.9289940828402368,26135.999999999993
27.2,84.3,17.3,22.4,13.0,5.6,1.21,13.0,539,Good,16.8,0.7723214285714286,32075.890000000003
23.2,54.0,2.9,8.8,24.4,0.6,1.04,12.5,372,Good,8.74,0.32954545454545453,14039.28
37.5,49.5,9.5,14.9,21.7,7.3,1.64,5.4,654,Moderate,13.34,0.6375838926174496,35996.159999999996
21.2,78.0,6.0,15.4,20.2,5.5,1.03,10.5,446,Good,11.610000000000001,0.38961038961038963,21465.98
25.2,52.1,1.6,4.8,21.1,4.6,1.1,11.7,230,Good,6.760000000000001,0.33333333333333337,7636.000000000001
29.1,54.3,5.8,15.1,28.0,8.8,1.43,10.8,421,Moderate,13.33,0.3841059602649007,24893.73
26.8,81.2,0.9,5.7,20.3,6.6,0.93,11.0,409,Good,6.790000000000001,0.15789473684210525,14081.869999999999
27.1,51.2,20.8,25.6,15.7,4.4,0.75,10.3,432,Good,19.580000000000002,0.8125,29052.0
38.0,78.8,1.3,9.0,23.8,0.8,2.54,5.3,755,Poor,8.06,0.14444444444444446,28267.200000000004
29.6,89.1,19.4,30.7,35.4,24.7,1.74,15.4,748,Poor,26.519999999999996,0.6319218241042345,83731.11999999998
48.4,91.7,24.0,42.3,37.5,29.3,2.35,2.9,924,Hazardous,32.72,0.5673758865248227,125155.79999999999
31.2,64.0,15.7,25.3,28.0,13.2,1.59,7.6,485,Moderate,20.790000000000003,0.6205533596837944,40638.15
23.4,52.5,1.6,10.7,16.9,3.1,1.37,8.1,396,Moderate,7.539999999999999,0.14953271028037385,13333.319999999998
25.6,49.6,0.1,3.9,22.8,4.9,1.02,13.8,575,Good,6.260000000000001,0.025641025641025644,18814.000000000004
24.5,45.3,3.6,9.0,24.4,3.8,0.9,11.2,527,Good,9.4,0.4,21975.899999999998
22.6,76.4,15.6,18.6,24.2,4.7,1.04,12.6,430,Good,17.13,0.8387096774193548,27580.200000000008
23.0,40.9,21.6,25.2,21.5,3.4,1.02,14.8,215,Good,20.84,0.8571428571428572,15634.799999999997
24.7,71.6,26.6,34.2,24.8,3.2,1.06,10.6,596,Good,26.18,0.7777777777777778,53556.56
23.9,43.0,12.2,17.2,14.1,7.2,0.93,10.5,333,Good,13.58,0.7093023255813954,17192.79
22.2,56.3,6.7,13.5,21.4,4.9,1.11,12.3,348,Good,11.500000000000002,0.4962962962962963,16568.28
28.3,75.6,0.1,8.7,10.4,4.0,1.04,12.5,518,Good,5.130000000000001,0.01149425287356322,12556.32
20.4,43.9,11.8,15.9,25.7,9.0,1.06,13.8,480,Good,15.530000000000001,0.7421383647798743,30460.800000000003
23.8,52.1,49.8,61.3,32.5,6.3,1.72,5.7,336,Moderate,45.440000000000005,0.8123980424143556,50944.31999999999
26.1,65.4,10.2,14.0,23.1,7.1,1.01,12.2,379,Good,13.610000000000003,0.7285714285714285,21000.39
41.9,81.3,11.4,23.3,31.2,11.5,1.98,5.5,459,Poor,18.939999999999998,0.4892703862660944,36435.420000000006
34.6,65.2,47.0,59.9,24.4,15.6,2.15,7.0,771,Poor,43.21,0.7846410684474123,114917.55
45.0,115.0,18.8,45.3,45.3,17.9,2.73,3.3,615,Hazardous,31.96,0.4150110375275939,79968.45
33.8,68.1,5.4,13.6,30.6,12.1,1.88,6.8,575,Moderate,13.57,0.3970588235294118,36558.5
25.6,57.4,2.2,6.4,12.2,5.0,1.19,18.9,392,Good,5.74,0.34375,10580.08
41.4,61.5,17.6,41.6,32.9,11.4,2.78,4.6,593,Poor,27.240000000000002,0.4230769230769231,63024.04
34.9,76.2,7.3,17.0,24.4,2.9,1.59,10.2,660,Moderate,13.189999999999998,0.4294117647058823,35105.4
19.7,62.7,22.4,27.5,19.4,3.1,1.18,10.6,396,Good,21.4,0.8145454545454545,29137.680000000004
